Date,Open,High,Low,Close,Adj Close,Volume
2018-06-04,223.369995,226.100006,222.289993,225.830002,215.646088,1609000
2018-06-05,226.289993,227.669998,224.600006,225.270004,215.111328,1283500
2018-06-06,224.289993,226.729996,223.630005,224.360001,214.242386,1660700
2018-06-07,224.179993,225.770004,222.970001,223.529999,213.449799,1070600
2018-06-08,223.960007,228.429993,223.770004,227.279999,217.030701,1072400
2018-06-11,226.149994,227.539993,225.139999,226.089996,215.894348,1025100
2018-06-12,225.490005,230.710007,225.490005,229.710007,219.351120,1532300
2018-06-13,229.880005,231.210007,228.539993,229.229996,218.892731,996100
2018-06-14,230.460007,232.240005,230.240005,232.179993,221.709702,1098300
2018-06-15,230.000000,233.070007,228.910004,233.020004,222.511856,2371600
2018-06-18,231.860001,232.460007,230.419998,232.259995,221.786102,1082400
2018-06-19,232.320007,233.100006,231.440002,231.850006,221.394592,880800
2018-06-20,233.270004,234.259995,231.410004,231.500000,221.060364,975400
2018-06-21,232.809998,233.100006,229.740005,231.360001,220.926712,940700
2018-06-22,231.660004,232.880005,230.660004,231.520004,221.079514,1306200
2018-06-25,231.250000,231.250000,227.220001,228.039993,217.756393,1373500
2018-06-26,228.910004,232.639999,227.429993,229.649994,219.293823,1232400
2018-06-27,228.229996,232.199997,228.229996,229.410004,219.064651,1845000
2018-06-28,230.000000,233.000000,228.889999,232.330002,221.852936,2090900
2018-06-29,220.610001,224.139999,215.250000,218.869995,208.999939,10214900
2018-07-02,216.070007,217.860001,213.669998,215.910004,206.173416,3523600
2018-07-03,215.000000,216.309998,212.130005,214.990005,205.294922,1205900
2018-07-05,215.190002,216.619995,214.320007,215.740005,206.011108,1530300
2018-07-06,215.639999,215.940002,214.130005,214.979996,205.285370,1480600
2018-07-09,215.429993,219.699997,215.279999,218.300003,208.455658,1645200
2018-07-10,217.410004,218.949997,216.059998,217.979996,208.150070,1083300
2018-07-11,217.279999,217.809998,215.919998,217.350006,207.548477,979700
2018-07-12,218.199997,218.539993,216.679993,217.520004,207.710831,1100900
2018-07-13,217.240005,218.119995,215.039993,215.500000,205.781891,1962600
2018-07-16,215.350006,216.220001,211.919998,213.449997,203.824341,2234700
2018-07-17,213.720001,215.369995,213.619995,213.850006,204.206360,1931600
2018-07-18,214.000000,214.559998,211.350006,214.360001,204.693298,2458400
2018-07-19,213.309998,217.339996,213.309998,215.820007,206.087509,1196200
2018-07-20,215.300003,217.020004,215.000000,215.960007,206.221161,993200
2018-07-23,216.000000,216.880005,214.399994,215.000000,205.304459,893700
2018-07-24,215.009995,215.979996,213.669998,214.600006,204.922485,1546000
2018-07-25,214.139999,215.720001,214.139999,215.149994,205.447693,1733800
2018-07-26,214.949997,215.899994,214.119995,214.630005,204.951172,1552600
2018-07-27,214.059998,215.820007,212.940002,213.949997,204.301819,1578300
2018-07-30,212.240005,214.149994,208.750000,209.669998,200.214798,2128300
2018-07-31,210.149994,210.830002,208.289993,210.229996,200.749542,2519900
2018-08-01,210.139999,210.669998,208.460007,208.460007,199.059357,1556500
2018-08-02,208.250000,210.000000,207.309998,207.940002,198.562866,1588300
2018-08-03,207.500000,214.500000,205.350006,214.009995,204.359085,3461100
2018-08-06,213.479996,214.929993,211.649994,212.520004,202.936310,1516300
2018-08-07,212.520004,217.479996,212.309998,217.130005,207.338425,1894300
2018-08-08,216.529999,216.789993,213.990005,214.410004,204.741058,1906100
2018-08-09,213.970001,216.509995,213.000000,214.779999,205.804672,1038700
2018-08-10,214.000000,214.809998,212.910004,213.300003,204.386551,1151400
2018-08-13,213.000000,214.009995,212.679993,213.830002,204.894379,1136700
2018-08-14,215.050003,222.220001,214.440002,221.809998,212.540909,4415500
2018-08-15,208.740005,212.529999,201.509995,208.270004,199.566742,10095100
2018-08-16,209.199997,209.500000,201.550003,202.479996,194.018692,5190100
2018-08-17,202.339996,204.539993,198.850006,203.929993,195.408081,3754000
2018-08-20,199.199997,203.800003,199.089996,202.899994,194.421143,2556900
2018-08-21,203.000000,204.949997,200.059998,200.490005,192.111832,2943700
2018-08-22,201.699997,204.550003,200.190002,203.360001,194.861923,2467500
2018-08-23,202.850006,205.339996,202.149994,204.880005,196.318390,1900300
2018-08-24,204.610001,208.710007,204.610001,207.600006,198.924744,2190800
2018-08-27,210.000000,210.800003,207.669998,210.259995,201.473572,3046200
2018-08-28,210.690002,211.380005,206.270004,207.169998,198.512695,2077800
2018-08-29,207.770004,209.940002,207.289993,209.250000,200.505768,1506800
2018-08-30,208.580002,210.649994,208.080002,208.759995,200.036255,1835600
2018-08-31,208.649994,209.910004,207.360001,208.199997,199.499649,1980400
2018-09-04,207.960007,211.300003,206.350006,211.110001,202.288055,1717300
2018-09-05,211.380005,211.500000,207.940002,209.750000,200.984894,1973600
2018-09-06,209.199997,209.789993,206.380005,208.619995,199.902084,1687100
2018-09-07,209.899994,211.729996,207.919998,211.720001,202.872543,2115300
2018-09-10,209.110001,214.500000,208.500000,212.059998,203.198349,2217400
2018-09-11,212.000000,216.750000,211.570007,215.259995,206.264618,2618800
2018-09-12,215.660004,219.130005,215.410004,215.990005,206.964096,1922200
2018-09-13,216.500000,217.750000,214.399994,214.830002,205.852570,1723200
2018-09-14,211.410004,214.139999,210.729996,212.050003,203.188782,2111100
2018-09-17,213.199997,213.899994,210.220001,212.330002,203.457077,1941900
2018-09-18,212.210007,214.869995,211.309998,213.520004,204.597290,1391000
2018-09-19,217.889999,218.500000,214.289993,215.169998,206.178406,1896100
2018-09-20,215.199997,219.429993,214.500000,218.570007,209.436310,1882700
2018-09-21,218.000000,219.600006,216.639999,216.940002,207.874435,2055300
2018-09-24,216.389999,217.020004,215.309998,216.320007,207.280365,928600
2018-09-25,215.479996,216.860001,212.919998,214.509995,205.545975,1555800
2018-09-26,215.460007,216.449997,213.509995,213.759995,204.827301,1338200
2018-09-27,213.500000,216.380005,213.500000,214.940002,205.957993,1128100
2018-09-28,216.220001,219.080002,215.199997,215.619995,206.609604,2434100
2018-10-01,216.309998,216.550003,212.850006,213.320007,204.405701,1341700
2018-10-02,212.880005,214.229996,211.770004,212.729996,203.840317,1765500
2018-10-03,213.610001,213.779999,210.520004,210.759995,201.952637,2627300
2018-10-04,224.309998,225.759995,216.199997,222.100006,212.818771,7428400
2018-10-05,224.169998,225.250000,220.830002,223.179993,213.853668,3759300
2018-10-08,223.639999,228.910004,223.410004,228.669998,219.114258,3029200
2018-10-09,227.820007,228.330002,225.229996,226.270004,216.814575,2443100
2018-10-10,227.369995,227.699997,221.389999,221.610001,212.349258,2217700
2018-10-11,221.229996,221.949997,217.500000,217.770004,208.669739,2343700
2018-10-12,221.259995,226.289993,220.039993,225.690002,216.258774,2967200
2018-10-15,224.309998,226.889999,222.690002,223.710007,214.361526,1583700
2018-10-16,227.300003,227.699997,224.500000,226.960007,217.475708,1636100
2018-10-17,227.059998,228.000000,224.009995,227.199997,217.705643,1165200
2018-10-18,227.729996,228.490005,224.070007,225.089996,215.683853,1991000
2018-10-19,225.750000,225.750000,222.270004,222.929993,213.614090,1883500
2018-10-22,223.330002,227.350006,219.000000,219.160004,210.001663,2563000
2018-10-23,216.750000,218.449997,211.250000,214.880005,205.900528,2808200
2018-10-24,214.419998,215.380005,211.649994,212.179993,203.313324,2330400
2018-10-25,211.919998,215.699997,209.779999,213.149994,204.242767,1712800
2018-10-26,211.009995,211.949997,205.889999,209.960007,201.186111,3008100
2018-10-29,211.020004,212.910004,200.759995,202.750000,194.277390,2570300
2018-10-30,200.839996,201.589996,196.259995,198.470001,190.176254,3477300
2018-10-31,200.009995,202.740005,198.669998,199.229996,190.904495,2978700
2018-11-01,199.699997,201.169998,199.029999,200.880005,192.485550,1783000
2018-11-02,201.139999,202.399994,199.160004,201.320007,192.907181,1877100
2018-11-05,200.990005,201.009995,197.229996,200.300003,192.637863,1605800
2018-11-06,200.520004,204.410004,200.229996,204.000000,196.196320,2303900
2018-11-07,205.479996,207.429993,204.800003,206.750000,198.841125,2041800
2018-11-08,207.369995,208.240005,204.130005,204.720001,196.888794,1459300
2018-11-09,204.389999,204.539993,201.039993,203.130005,195.359604,1654400
2018-11-12,203.059998,204.720001,201.619995,201.970001,194.244003,1309100
2018-11-13,201.399994,202.000000,199.080002,199.639999,192.003113,2316900
